,No.,weight,temp,type,time_untouched,req_time
72,467,8184,0.5,0,18,0
73,460,1404,0.35,2,18,0
74,630,2814,0.6,0,1,7
75,653,4954,0.5,0,18,0
76,411,8597,0.30000000000000004,0,18,0
77,306,2380,0.4,1,18,0
78,119,8307,0.30000000000000004,0,18,0
79,525,7926,0.4,0,18,0
80,799,2121,0.30000000000000004,1,18,0
81,562,8860,0.5,1,18,0
82,634,4303,0.6,2,0,13
83,488,2332,0.45000000000000007,0,18,0
84,141,2287,0.55,1,0,9
85,916,7762,0.30000000000000004,0,18,0
86,865,3575,0.35,1,18,0
87,764,3769,0.5,1,18,0
88,244,6432,0.30000000000000004,1,18,0
89,11,1475,0.4,1,18,0
90,779,2104,0.55,1,1,7
91,416,5236,0.4,1,18,0
92,749,6727,0.4,2,18,0
93,97,2085,0.5,0,18,0
94,464,6564,0.35,2,18,0
95,825,4921,0.5,0,18,0
96,798,2860,0.30000000000000004,2,18,0
97,350,1048,0.35,2,18,0
98,339,685,0.5,2,18,0
99,517,1038,0.45000000000000007,0,18,0
100,833,2465,0.4,0,18,0
101,217,156,0.5053606992596287,0,0,7
102,248,6551,0.45000000000000007,0,18,0
103,541,573,0.4,0,18,0
104,16,6348,0.4,0,18,0
105,717,4816,0.5,0,18,0
106,506,2629,0.6,0,3,7
107,257,8210,0.30000000000000004,2,18,0
108,740,7088,0.4,2,18,0
109,518,436,0.55,2,1,7
110,384,7118,0.35,0,18,0
111,783,1105,0.6,1,1,12
112,225,4040,0.35,1,18,0
113,449,139,0.5,1,18,0
114,961,1357,0.55,0,2,6
115,888,1691,0.5,0,18,0
116,746,4115,0.55,2,4,5
117,356,7660,0.30000000000000004,2,18,0
118,335,1972,0.4,0,18,0
119,294,6128,0.45000000000000007,0,18,0
120,15,597,0.45000000000000007,1,18,0
121,716,3103,0.6,2,1,7
122,912,7230,0.4,1,18,0
123,637,2513,0.6,2,2,5
124,46,644,0.4,1,18,0
125,974,6998,0.30000000000000004,1,18,0
126,103,5313,0.35,2,18,0
127,127,1496,0.35,0,18,0
128,739,2196,0.30000000000000004,0,18,0
129,781,9403,0.45000000000000007,0,18,0
130,266,6186,0.4,2,18,0
131,126,7202,0.5,1,18,0
132,176,537,0.5742600083994494,0,1,8
133,441,5546,0.35,1,18,0
134,938,1523,0.5,2,18,0
135,760,7401,0.5,2,18,0
136,297,8855,0.5,1,18,0
137,155,6382,0.45000000000000007,2,18,0
138,759,4046,0.35,0,18,0
139,889,9566,0.45000000000000007,0,18,0
140,348,7496,0.30000000000000004,0,18,0
141,352,7776,0.30000000000000004,2,18,0
142,48,3731,0.30000000000000004,1,18,0
143,903,643,0.30000000000000004,1,18,0
144,497,8112,0.45000000000000007,2,18,0
145,408,7059,0.45000000000000007,0,18,0
146,545,3642,0.55,0,0,6
147,439,2349,0.6,2,2,7
148,984,1366,0.4,1,15,1
149,823,2158,0.4,1,18,0
150,995,3831,0.35,2,18,0
151,669,3178,0.6,0,3,8
152,122,2152,0.5950235928028694,0,0,9
153,427,467,0.6,0,4,5
154,205,6610,0.35,2,18,0
155,227,4578,0.5,1,18,0
156,418,3016,0.5,0,18,0
157,980,4547,0.30000000000000004,0,18,0
158,434,5084,0.5,0,18,0
159,3,1472,0.5950235928028694,2,5,7
160,528,213,0.6,1,0,8
161,140,3273,0.4,0,18,0
162,360,262,0.30000000000000004,0,18,0
163,683,3022,0.35,2,18,0
164,400,9550,0.5,1,18,0
165,245,5474,0.4,1,18,0
166,603,4665,0.6,0,4,8
167,743,313,0.4,0,18,0
168,238,3556,0.6,2,0,7
169,420,1135,0.5053606992596287,1,0,8
170,805,4235,0.5,2,18,0
171,25,658,0.6,2,0,10
172,751,2610,0.30000000000000004,0,18,0
173,679,1975,0.30000000000000004,0,18,0
174,875,9797,0.45000000000000007,1,18,0
175,807,7068,0.35,1,18,0
176,852,813,0.55,0,0,13
177,268,2724,0.5294845426213011,2,1,6
178,773,1738,0.5,0,18,0
179,203,2464,0.45000000000000007,1,18,0
180,241,4661,0.4,2,18,0
181,251,658,0.30000000000000004,2,18,0
182,430,1187,0.55243185225897,0,0,10
183,509,4283,0.55,2,0,8
184,489,5191,0.6,1,1,6
185,237,4270,0.55,1,0,8
186,885,7425,0.5,1,18,0
187,247,7573,0.4,1,18,0
188,485,5398,0.30000000000000004,0,18,0
189,288,216,0.55243185225897,2,1,9
190,304,1489,0.6,2,1,5
191,957,4662,0.2,2,0,6
192,495,6515,0.45000000000000007,1,18,0
193,73,3480,0.30000000000000004,0,18,0
194,178,1271,0.30000000000000004,1,18,0
195,35,8455,0.45000000000000007,2,18,0
196,578,9626,0.45000000000000007,2,18,0
197,487,7986,0.30000000000000004,0,18,0
198,490,660,0.6,1,0,7
199,672,3020,0.35,1,18,0
200,703,4758,0.45000000000000007,0,18,0
201,511,414,0.35,0,18,0
202,486,2892,0.30000000000000004,2,18,0
203,574,9423,0.30000000000000004,1,18,0
204,925,9063,0.35,2,18,0
205,685,326,0.5053606992596287,2,1,10
206,342,787,0.5053606992596287,2,1,8
207,829,7081,0.30000000000000004,1,18,0
208,832,656,0.5,2,18,0
209,444,5497,0.45000000000000007,2,18,0
210,355,7906,0.5,1,18,0
211,942,1440,0.5053606992596287,1,1,12
212,325,9864,0.5,2,18,0
213,616,3464,0.5,2,18,0
214,941,604,0.35,2,18,0
215,579,9260,0.45000000000000007,1,18,0
216,816,608,0.5053606992596287,0,2,7
217,446,1363,0.6,1,0,9
218,608,6910,0.30000000000000004,1,18,0
219,849,6628,0.30000000000000004,0,18,0
220,86,4223,0.6,2,2,11
221,813,9464,0.4,0,18,0
222,157,8625,0.5,1,18,0
223,886,4844,0.5294845426213011,2,3,5
224,261,9877,0.5,1,18,0
225,387,460,0.6,1,6,9
226,483,7322,0.30000000000000004,1,18,0
227,283,8806,0.35,1,18,0
228,381,3692,0.55,1,2,8
229,976,909,0.4,2,18,0
230,947,9320,0.4,2,18,0
231,769,7107,0.30000000000000004,2,18,0
232,950,278,0.55243185225897,0,1,9
233,498,2198,0.4,1,18,0
234,618,8850,0.4,0,18,0
235,117,6033,0.30000000000000004,0,18,0
236,919,3633,0.30000000000000004,0,12,1
237,584,4445,0.6,2,0,5
238,854,731,0.45000000000000007,0,18,0
239,537,5832,0.55,0,9,1
240,33,3622,0.5,2,18,0
241,622,9831,0.5,1,18,0
242,778,2094,0.55243185225897,1,1,10
243,946,2510,0.35,0,18,0
244,940,3194,0.55,0,2,6
245,259,9254,0.35,2,18,0
246,676,3110,0.5,1,18,0
247,24,747,0.4,2,18,0
248,60,745,0.5,0,18,0
249,222,208,0.35,0,18,0
250,704,5486,0.5294845426213011,1,1,7
251,404,7910,0.6,0,2,6
252,645,4882,0.35,0,18,0
253,438,1573,0.5294845426213011,0,0,8
254,607,4702,0.5,0,18,0
255,515,6947,0.30000000000000004,2,18,0
256,77,1779,0.5053606992596287,2,8,8
257,6,6079,0.45000000000000007,2,18,0
258,135,99,0.5294845426213011,2,2,8
259,556,4717,0.5,1,18,0
260,754,201,0.5294845426213011,1,0,8
261,605,1811,0.4,0,18,0
262,874,3826,0.5,1,18,0
263,629,7607,0.35,0,18,0
264,948,5256,0.35,2,18,0
265,219,5795,0.30000000000000004,1,18,0
266,960,987,0.30000000000000004,1,18,0
267,727,2613,0.55,2,1,8
268,907,1820,0.35,0,18,0
269,345,9314,0.4,2,18,0
270,417,582,0.4,2,12,1
271,625,1260,0.55243185225897,2,0,13
272,671,7041,0.45000000000000007,1,18,0
273,642,3758,0.35,2,18,0
274,881,2750,0.55,1,2,7
275,69,852,0.5,0,18,0
276,678,7248,0.45000000000000007,2,18,0
277,57,3212,0.5294845426213011,1,3,7
278,600,1175,0.55243185225897,0,4,6
279,641,2120,0.55,1,2,6
280,9,7300,0.4,1,18,0
281,606,727,0.30000000000000004,1,18,0
282,597,862,0.55,1,2,7
283,42,5963,0.30000000000000004,0,18,0
284,455,4271,0.4,0,18,0
285,353,2510,0.5053606992596287,0,9,1
286,366,2460,0.55,0,1,6
287,204,2751,0.5294845426213011,2,5,6
288,915,4218,0.55,0,3,11
289,382,4692,0.4,1,18,0
290,560,4194,0.35,2,18,0
291,873,3566,0.30000000000000004,1,18,0
292,936,7079,0.4,1,18,0
293,351,1833,0.55,0,2,5
294,709,3095,0.5294845426213011,1,0,11
295,54,1112,0.5,1,18,0
296,118,3403,0.6,2,0,7
297,668,7659,0.4,2,18,0
298,94,2423,0.5294845426213011,1,0,12
299,95,5057,0.55,1,4,7
300,116,533,0.45000000000000007,2,18,0
301,4,9981,0.4,2,18,0
302,665,8768,0.45000000000000007,0,18,0
303,896,5507,0.5,2,18,0
304,0,9713,0.5,0,18,0
305,992,3741,0.6,0,2,8
306,174,2073,0.4294845426213011,1,12,2
307,273,4867,0.30000000000000004,2,18,0
308,262,6977,0.30000000000000004,0,18,0
309,26,4161,0.5053606992596287,1,1,8
310,970,9411,0.5,2,18,0
311,658,3226,0.55,0,0,10
312,909,8083,0.5,2,18,0
313,295,406,0.55,0,1,6
314,575,178,0.5,2,18,0
315,924,8166,0.30000000000000004,1,18,0
316,827,794,0.5053606992596287,0,1,7
317,131,4672,0.55,2,1,4
318,576,4629,0.6,2,6,6
319,201,1187,0.55,1,0,7
320,212,8393,0.45000000000000007,1,18,0
321,37,2219,0.6,1,0,6
322,199,1071,0.35,0,18,0
323,324,1828,0.55243185225897,0,0,7
324,293,2482,0.5,0,18,0
325,397,1028,0.45000000000000007,0,18,0
326,223,5697,0.45000000000000007,1,18,0
327,385,7882,0.5,1,18,0
328,542,5954,0.4,0,18,0
329,457,688,0.5,0,18,0
330,868,9458,0.4,0,18,0
331,943,5923,0.5,0,18,0
332,492,7414,0.35,1,18,0
333,156,3536,0.35,1,18,0
334,914,7125,0.35,0,18,0
335,221,4360,0.35,1,18,0
336,290,3334,0.5,1,18,0
337,777,9462,0.30000000000000004,0,18,0
338,80,4850,0.6,1,8,1
339,108,3195,0.30000000000000004,1,18,0
340,548,4298,0.5950235928028694,0,1,9
341,115,6016,0.5,1,18,0
342,84,539,0.5053606992596287,1,0,1
343,213,2389,0.5053606992596287,0,0,11
344,505,6568,0.4,2,18,0
345,543,4644,0.5,0,18,0
346,58,3488,0.4,2,18,0
347,838,8281,0.30000000000000004,2,18,0
348,311,3330,0.5294845426213011,2,1,8
349,870,410,0.5053606992596287,1,3,2
350,454,1527,0.45000000000000007,1,16,2
351,927,3069,0.35,2,18,0
352,62,9546,0.35,0,18,0
353,458,406,0.35,0,18,0
354,365,9412,0.5,1,1,1
355,45,4463,0.5294845426213011,0,0,7
356,520,7641,0.4,2,18,0
357,664,9679,0.30000000000000004,0,18,0
358,765,8006,0.35,2,18,0
359,615,3526,0.5742600083994494,1,3,6
360,869,8170,0.30000000000000004,2,18,0
361,785,233,0.30000000000000004,0,18,0
362,666,4851,0.35,1,18,0
363,388,4441,0.5,0,18,0
364,817,8018,0.30000000000000004,0,16,2
365,955,2139,0.45000000000000007,2,18,0
366,453,3967,0.6,1,1,7
367,151,3176,0.5053606992596287,0,0,11
368,177,75,0.55,1,3,9
369,465,1481,0.5,0,18,0
370,901,6230,0.35,1,18,0
371,611,7751,0.5,0,18,0
372,359,5270,0.5,2,18,0
373,872,1653,0.4,2,18,0
374,43,6412,0.4,1,18,0
375,796,7134,0.4,0,18,0
376,463,9680,0.5,1,18,0
377,707,1221,0.6,2,1,5
378,315,4717,0.45000000000000007,2,18,0
379,220,3101,0.30000000000000004,0,18,0
380,403,3239,0.55,2,0,10
381,114,579,0.45000000000000007,1,18,0
382,234,6770,0.4,1,18,0
383,565,4909,0.4,0,18,0
384,516,2096,0.35,0,18,0
385,697,977,0.4,2,18,0
386,165,4841,0.5294845426213011,2,4,10
387,723,4928,0.35,0,18,0
388,922,8714,0.4,2,18,0
389,298,5704,0.30000000000000004,2,18,0
390,421,9188,0.30000000000000004,1,18,0
391,847,5194,0.55,2,1,5
392,878,8939,0.35,0,18,0
393,301,133,0.5294845426213011,1,5,5
394,346,377,0.5053606992596287,1,0,6
395,551,2517,0.55,0,3,8
396,209,3396,0.35,0,18,0
397,533,3326,0.4053606992596287,1,14,1
398,100,3938,0.35,1,18,0
399,322,1185,0.5053606992596287,2,0,10
400,522,3900,0.5,0,18,0
401,269,4474,0.4,0,18,0
402,471,1096,0.5,2,18,0
403,928,524,0.35,0,18,0
404,591,4954,0.6,2,1,6
405,621,8103,0.30000000000000004,1,18,0
406,568,1738,0.6,2,0,7
407,843,572,0.5053606992596287,0,3,8
408,547,5641,0.4,2,18,0
409,549,3694,0.5294845426213011,0,0,9
410,347,9124,0.30000000000000004,0,18,0
411,981,321,0.5053606992596287,0,2,5
412,228,3759,0.5053606992596287,0,5,7
413,30,9649,0.30000000000000004,2,18,0
414,499,7949,0.5,0,18,0
415,964,1691,0.30000000000000004,2,18,0
416,87,509,0.5053606992596287,2,1,6
417,44,4730,0.30000000000000004,1,18,0
418,997,9451,0.45000000000000007,0,18,0
419,334,1587,0.5053606992596287,1,0,11
420,842,698,0.6,2,1,11
421,364,2548,0.6,2,0,12
422,652,957,0.6,0,3,11
423,183,7888,0.5,1,18,0
424,313,2375,0.6,1,4,5
425,1,5217,0.5,1,18,0
426,864,3510,0.5294845426213011,2,0,10
427,170,3650,0.30000000000000004,2,18,0
428,392,4712,0.5294845426213011,1,1,10
429,424,307,0.5,1,2,2
430,452,1616,0.55,1,0,11
431,718,8468,0.35,1,18,0
432,891,3461,0.4,1,18,0
433,848,3232,0.30000000000000004,0,18,0
434,956,2604,0.5053606992596287,2,2,1
435,307,787,0.45000000000000007,1,18,0
436,546,3610,0.6,2,0,6
437,191,3592,0.55243185225897,2,0,4
438,246,4768,0.55,0,8,1
439,713,5988,0.35,1,18,0
440,540,8316,0.35,2,18,0
441,871,5097,0.6,0,0,6
442,331,3983,0.45000000000000007,0,18,0
443,280,4685,0.35,2,18,0
444,701,4927,0.5053606992596287,2,0,13
445,428,8035,0.4,1,18,0
446,185,8440,0.45000000000000007,1,18,0
447,588,7556,0.5,1,3,1
448,272,1767,0.6,0,0,10
449,182,4933,0.5,2,18,0
450,496,4199,0.45000000000000007,1,18,0
451,973,9247,0.5,0,1,1
452,705,1848,0.6,0,0,7
453,19,4667,0.6,0,1,6
454,149,1040,0.5,0,18,0
455,166,503,0.5294845426213011,0,0,5
456,386,513,0.55,0,0,7
457,281,3053,0.30000000000000004,2,18,0
458,971,4098,0.5,1,16,2
459,722,5093,0.45000000000000007,2,18,0
460,13,2559,0.5,0,18,0
461,512,3351,0.4,0,18,0
462,741,812,0.5294845426213011,0,2,7
463,250,7761,0.30000000000000004,1,18,0
464,81,6262,0.45000000000000007,0,18,0
465,728,4243,0.6,1,0,10
466,656,6431,0.30000000000000004,2,18,0
467,143,3313,0.5742600083994494,2,0,4
468,39,3086,0.30000000000000004,1,18,0
469,994,8253,0.35,1,18,0
470,72,2453,0.35,0,18,0
471,711,5826,0.6,0,0,9
472,952,874,0.4,1,18,0
473,619,4282,0.5294845426213011,1,1,5
474,146,744,0.30000000000000004,2,18,0
475,41,7577,0.4,1,18,0
476,258,3605,0.35,2,18,0
477,831,811,0.45000000000000007,1,18,0
478,877,3303,0.55243185225897,1,0,5
479,391,2578,0.35,2,18,0
480,527,1966,0.4,0,18,0
481,620,7576,0.5,2,18,0
482,289,3404,0.6,1,1,5
483,975,2077,0.45000000000000007,2,18,0
484,814,5057,0.5,0,18,0
485,553,3464,0.5294845426213011,1,1,11
486,670,9588,0.30000000000000004,2,18,0
487,112,542,0.5,2,18,0
488,684,7538,0.35,0,18,0
489,681,8682,0.35,1,18,0
490,88,6363,0.5,1,18,0
491,966,6727,0.30000000000000004,0,18,0
492,148,3730,0.30000000000000004,1,18,0
493,908,6529,0.30000000000000004,2,18,0
494,206,7136,0.45000000000000007,2,18,0
495,484,1658,0.4,0,18,0
496,836,4617,0.4,1,18,0
497,279,6226,0.45000000000000007,1,17,0
498,507,5044,0.55,1,0,7
499,719,9374,0.45000000000000007,2,17,0
500,544,1582,0.30000000000000004,0,17,0
501,414,6707,0.35,0,17,0
502,539,1407,0.5294845426213011,1,1,9
503,184,596,0.4,1,17,0
504,674,4077,0.5294845426213011,1,2,6
505,373,271,0.5,2,17,0
506,412,8301,0.4,0,17,0
507,389,9127,0.45000000000000007,1,17,0
508,604,2925,0.55,0,8,1
509,983,1474,0.4,2,17,0
510,494,3614,0.6,0,5,5
511,478,192,0.5053606992596287,2,1,8
512,933,1895,0.4,0,17,0
513,243,1210,0.55,2,4,10
514,815,2221,0.5053606992596287,1,1,9
515,732,2177,0.35,2,17,0
516,236,347,0.30000000000000004,2,17,0
517,92,7200,0.35,0,17,0
518,314,4839,0.30000000000000004,1,17,0
519,954,3532,0.30000000000000004,1,17,0
520,500,1616,0.45000000000000007,0,17,0
521,476,4,0.5053606992596287,2,1,5
522,790,5603,0.30000000000000004,0,17,0
523,318,5293,0.4,2,17,0
524,774,1605,0.4,1,17,0
525,5,1689,0.5294845426213011,0,0,7
526,917,4373,0.35,0,17,0
527,215,6089,0.35,1,17,0
528,987,6030,0.45000000000000007,1,17,0
529,721,3082,0.30000000000000004,1,17,0
530,405,5302,0.5,1,17,0
531,858,7711,0.5,1,1,4
532,862,9343,0.4,1,17,0
533,256,1613,0.5,2,17,0
534,887,6048,0.35,0,17,0
535,51,1763,0.5,0,17,0
536,374,3666,0.55243185225897,0,2,6
537,561,5610,0.30000000000000004,0,17,0
538,226,88,0.45000000000000007,2,17,0
539,91,858,0.5,2,17,0
540,208,2646,0.4,1,12,1
541,688,3119,0.6,2,1,8
542,71,3172,0.4,1,17,0
543,786,3875,0.5294845426213011,0,1,7
544,375,9445,0.30000000000000004,1,17,0
545,646,2641,0.30000000000000004,0,17,0
546,216,2547,0.30000000000000004,2,17,0
547,514,2042,0.5294845426213011,0,0,8
548,945,3994,0.30000000000000004,0,17,0
549,21,9912,0.30000000000000004,1,17,0
550,448,9160,0.30000000000000004,1,13,0
551,343,8376,0.30000000000000004,1,17,0
552,867,2933,0.5053606992596287,0,1,6
553,291,5811,0.30000000000000004,2,17,0
554,254,9439,0.35,0,17,0
555,841,435,0.5742600083994494,0,5,5
556,503,7829,0.35,0,17,0
557,284,6201,0.35,1,17,0
558,312,5525,0.35,1,17,0
559,362,8036,0.35,0,17,0
560,187,8829,0.35,1,17,0
561,337,1725,0.35,2,17,0
562,173,3695,0.35,1,17,0
563,702,5574,0.35,1,14,0
564,233,2988,0.35,2,17,0
565,14,7142,0.35,2,17,0
566,627,8096,0.35,0,14,2
567,456,6338,0.35,2,17,0
568,20,1244,0.35,0,17,0
569,67,4744,0.35,2,12,1
570,379,9743,0.4,1,12,0
571,977,9156,0.30000000000000004,0,11,0
572,63,9824,0.30000000000000004,0,11,0
573,890,4143,0.35,1,11,0
574,631,6276,0.4,1,17,0
575,147,4765,0.4,0,17,0
576,172,6145,0.55243185225897,0,2,3
577,466,4510,0.5053606992596287,0,0,5
578,10,2607,0.4,0,17,0
579,602,1543,0.55243185225897,2,1,6
580,806,4968,0.5,2,3,5
581,959,7042,0.5294845426213011,2,0,2
582,164,6506,0.4,2,17,0
583,682,8329,0.4,0,17,0
584,989,2646,0.30000000000000004,1,10,0
585,240,4713,0.4,2,17,0
586,472,499,0.4,2,17,0
587,83,8368,0.4,1,17,0
588,738,6019,0.4,1,15,0
589,673,8569,0.4,0,17,0
590,784,4524,0.4,0,9,0
591,660,6974,0.45,1,9,0
592,643,143,0.5742600083994494,1,1,5
593,804,3005,0.4,1,17,0
594,378,5466,0.4,2,17,0
595,29,5533,0.4,1,8,0
596,132,8331,0.45,2,8,0
597,614,6953,0.5,1,9,2
598,835,8165,0.5,2,1,3
599,857,4585,0.30000000000000004,0,7,0
600,821,3718,0.35,2,7,0
601,552,6872,0.4,1,7,0
602,437,7525,0.5,0,7,0
603,59,9039,0.5,2,8,0
604,931,9152,0.5294845426213011,1,0,3
605,369,6757,0.55243185225897,1,0,4
606,274,8026,0.30000000000000004,0,6,0
607,866,4313,0.45,2,6,0
608,809,4099,0.45,0,6,2
609,371,3535,0.45000000000000007,1,17,0
610,855,3072,0.45000000000000007,1,17,0
611,812,3129,0.45000000000000007,2,17,0
612,840,1319,0.45000000000000007,0,17,0
613,443,7388,0.45000000000000007,0,17,0
614,726,4651,0.45000000000000007,1,17,0
615,410,1729,0.45000000000000007,2,17,0
616,401,6668,0.45000000000000007,0,17,0
617,27,4419,0.45000000000000007,1,17,0
618,592,1998,0.45000000000000007,1,17,0
619,725,2041,0.45000000000000007,0,17,0
620,677,3557,0.45000000000000007,0,17,0
621,555,2149,0.45000000000000007,1,17,0
622,834,7386,0.45000000000000007,2,17,0
623,504,6259,0.5,1,17,0
624,275,3712,0.30000000000000004,2,5,0
625,590,6882,0.35,1,5,0
626,232,569,0.35,0,5,0
627,396,2786,0.4,1,5,3
628,691,7782,0.4,2,5,0
629,572,4568,0.4,2,5,0
630,538,1635,0.4053606992596287,2,16,2
631,468,7254,0.45,0,5,0
632,893,8817,0.5,2,6,0
633,706,9455,0.30000000000000004,1,4,0
634,986,5055,0.4,0,4,2
635,564,7722,0.4,0,4,2
636,296,3937,0.4,1,4,2
637,766,3621,0.4,0,4,0
638,635,7944,0.4,2,4,0
639,720,9228,0.45,0,4,0
640,535,5698,0.45000000000000007,1,4,0
641,930,7211,0.45000000000000007,2,4,0
642,361,6917,0.5,2,6,0
643,695,7182,0.5,2,4,0
644,573,3284,0.5,1,17,0
645,819,4901,0.35,1,3,0
646,776,8878,0.35,1,3,0
647,330,9762,0.4,0,3,0
648,123,6430,0.4,0,3,0
649,255,498,0.4,2,3,4
650,263,7091,0.4,1,3,0
651,811,9871,0.45,1,3,0
652,462,2822,0.45,1,3,3
653,594,8553,0.45,0,3,0
654,368,3491,0.45000000000000007,0,3,0
655,563,4181,0.5,2,6,0
656,317,7470,0.5,0,17,0
657,935,9728,0.5,0,3,1
658,85,9809,0.5,1,17,0
659,557,3526,0.30000000000000004,1,2,0
660,536,2043,0.35,1,2,0
661,229,7009,0.4,2,2,2
662,923,8312,0.4,0,2,0
663,899,4876,0.4,0,2,0
664,651,3880,0.4,2,2,0
665,733,8820,0.4,1,2,0
666,883,9678,0.4,1,2,2
667,859,3447,0.4,1,2,0
668,612,1500,0.4,0,2,3
669,905,7616,0.4,0,2,1
670,425,2840,0.4,2,2,0
671,104,5445,0.4,1,2,0
672,110,3603,0.4,0,2,0
673,735,188,0.45,0,2,4
674,926,2706,0.45,0,2,1
675,167,8075,0.45,1,2,3
676,152,5546,0.45,1,2,3
677,133,4607,0.45,0,2,1
678,393,9615,0.45,2,2,0
679,252,9419,0.45,0,2,3
680,830,4137,0.45,2,2,3
681,510,8684,0.45000000000000007,0,13,1
682,323,8995,0.45000000000000007,0,2,0
683,583,8339,0.45000000000000007,1,2,0
684,844,1437,0.5,2,17,0
685,90,8496,0.5,1,3,2
686,106,3770,0.30000000000000004,2,1,3
687,363,9383,0.30000000000000004,2,1,0
688,413,6735,0.30000000000000004,2,1,0
689,934,9775,0.30000000000000004,1,1,2
690,61,8166,0.4,1,1,0
691,78,2550,0.4,1,1,0
692,310,5900,0.4,2,1,0
693,921,7609,0.4,2,1,0
694,895,3425,0.4,1,1,2
695,130,5449,0.4,2,1,1
696,218,5102,0.4,0,1,1
697,585,3985,0.4,1,1,1
698,150,6263,0.4,2,1,0
699,305,7969,0.4,2,1,0
700,200,5232,0.4,0,1,0
701,124,4319,0.4,1,1,3
702,647,6546,0.4,0,1,0
703,469,4988,0.4,2,1,0
704,22,5813,0.4053606992596287,2,12,3
705,750,2548,0.4053606992596287,0,1,3
706,344,798,0.45,1,1,4
707,105,5651,0.45,2,1,3
708,451,9946,0.45,2,1,0
709,65,5869,0.45,1,1,2
710,638,6835,0.45,1,1,2
711,113,7905,0.45,2,1,0
712,479,7141,0.45,0,1,2
713,66,3074,0.45,1,1,0
714,98,5325,0.45,2,1,0
715,856,5305,0.45000000000000007,1,12,2
716,632,4853,0.6147745252455068,0,2,6
717,582,9120,0.1,0,0,4
718,967,6981,0.1,2,0,2
719,788,4604,0.2,0,0,5
720,161,371,0.30000000000000004,0,0,0
721,712,9186,0.30000000000000004,1,0,0
722,710,1807,0.30000000000000004,1,0,0
723,953,9244,0.35,1,0,0
724,137,6046,0.35,1,0,0
725,287,6161,0.35,1,0,0
726,125,3573,0.35,0,0,0
727,354,7571,0.4,2,0,0
728,265,8352,0.4,0,0,0
729,929,2355,0.4,0,0,0
730,120,6779,0.4,2,0,0
731,649,6318,0.4,1,0,2
732,587,3653,0.4,2,0,0
733,214,3896,0.4,0,0,0
734,736,2562,0.4,1,0,0
735,197,8437,0.4,0,0,0
736,782,3453,0.4,1,0,0
737,249,9757,0.4,0,0,0
738,558,3958,0.4,2,0,0
739,898,6679,0.4,0,0,0
740,224,5387,0.5053606992596287,2,0,1
741,808,6324,0.4,2,0,0
742,613,2724,0.4,1,0,0
743,432,1073,0.4,1,0,0
744,698,4366,0.4,0,0,0
